year,finish_position,horse_name,final_odds
2025,1,Sovereignty,7.98
2025,2,Journalism,3.42
2025,3,Baeza,13.86
2025,4,Final Gambit,17.55
2025,5,Owen Almighty,40.27
2025,6,Burnham Square,19.65
2025,7,Sandman,5.77
2025,8,East Avenue,41.97
2025,9,Chunk Of Gold,29.06
2025,10,Tiztastic,24.80
2025,11,Coal Battle,28.40
2025,12,Luxor Cafe,8.24
2025,13,Neoequos,42.58
2025,14,Publisher,33.39
2025,15,Citizen Bull,13.98
2025,16,American Promise,12.51
2025,17,Render Judgment,20.57
2025,18,Flying Mohawk,28.39
2025,19,Admire Daytona (JPN),42.85
2025,scratched,Rodriguez,
2025,scratched,Grande,
2024,1,Mystik Dan,18.61
2024,2,Sierra Leone,4.79
2024,3,Forever Young (JPN),7.03
2024,4,Catching Freedom,8.47
2024,5,T O Password (JPN),48.20
2024,6,Resilience,31.85
2024,7,Stronghold,35.55
2024,8,Honor Marie,14.90
2024,9,Endlessly,48.83
2024,10,Dornoch,22.91
2024,11,Track Phantom,41.58
2024,12,West Saratoga,22.93
2024,13,Domestic Product,24.17
2024,14,Epic Ride,47.57
2024,15,Fierceness,3.21
2024,16,Society Man,47.41
2024,17,Just Steel,21.27
2024,18,Grand Mo the First,49.32
2024,19,Catalytic,34.82
2024,20,Just a Touch,11.57
2024,scratched,Encino,
2023,1,Mage,15.21
2023,2,Two Phil's,9.87
2023,3,Angel of Empire,4.06
2023,4,Disarm,27.12
2023,5,Hit Show,24.02
2023,6,Derma Sotogake (JPN),7.80
2023,7,Tapit Trice,4.53
2023,8,Raise Cain,33.04
2023,9,Rocket Can,28.81
2023,10,Confidence Game,21.03
2023,11,Sun Thunder,33.06
2023,12,Mandarin Hero (JPN),17.47
2023,13,Reincarnate,14.76
2023,14,Kingsbarns,11.72
2023,15,King Russell,32.27
2023,16,Verifying,14.30
2023,17,Jace's Road,33.47
2023,18,Cyclone Mischief,29.02
2023,scratched,Skinner,
2022,1,Rich Strike,80.80
2022,2,Epicenter,4.10
2022,3,Zandon,6.10
2022,4,Simplification,35.30
2022,5,Mo Donegal,10.10
2022,6,Barber Road,60.40
2022,7,Tawny Port,80.50
2022,8,Smile Happy,14.10
2022,9,Tiz the Bomb,31.00
2022,10,Zozos,48.70
2022,11,Classic Causeway,78.90
2022,12,Taiba,5.80
2022,13,Crown Pride,17.50
2022,14,Happy Jack,23.20
2022,15,Messier,7.10
2022,16,White Abarrio,15.40
2022,17,Charge It,16.00
2022,18,Cyberknife,14.90
2022,19,Pioneer of Medina,55.90
2022,20,Summer Is Tomorrow,36.80
2022,scratched,Ethereal Road,
2021,1,Mandaloun,26.90
2021,2,Hot Rod Charlie,5.60
2021,3,Essential Quality,2.90
2021,4,O Besos,41.70
2021,5,Midnight Bourbon,13.20
2021,6,Keepmeinmind,49.00
2021,7,Helium,38.10
2021,8,Known Agenda,9.90
2021,9,Highly Motivated,10.70
2021,10,Sainthood,43.40
2021,11,Like the King,49.90
2021,12,Bourbonic,30.40
2021,13,Hidden Stash,39.40
2021,14,Brooklyn Strong,43.50
2021,15,Super Stock,33.90
2021,16,Rock Your World,4.70
2021,17,Dynamic One,45.30
2021,18,Soup and Sandwich,26.90
2021,DNS,King Fury,
2021,DQ,Medina Spirit,12.10
2020,1,Authentic,8.40
2020,2,Tiz the Law,0.70
2020,3,Mr. Big News,46.50
2020,4,Honor A. P.,7.60
2020,5,Max Player,19.60
2020,6,Storm the Court,27.50
2020,7,Enforceable,22.90
2020,8,Ny Traffic,12.70
2020,9,Necker Island,49.30
2020,10,Major Fed,43.30
2020,11,Sole Volante,32.10
2020,12,Winning Impression,50.00
2020,13,Money Moves,13.10
2020,14,Attachment Rate,47.50
2020,15,South Bend,36.60
2020,scratched,Finnick the Fierce,
2020,scratched,King Guillermo,
2020,scratched,Thousand Words,
2019,1,Country House,65.20
2019,2,Code of Honor,14.40
2019,3,Tacitus,5.80
2019,4,Improbable,4.00
2019,5,Game Winner,6.80
2019,6,Master Fencer,58.60
2019,7,War of Will,16.70
2019,8,Plus Que Parfait,57.10
2019,9,Win Win Win,16.80
2019,10,Cutting Humor,24.10
2019,11,By My Standards,18.80
2019,12,Vekoma,16.80
2019,13,Bodexpress,71.00
2019,14,Tax,35.50
2019,15,Roadster,11.60
2019,16,Long Range Toddy,54.80
2019,17-DQ,Maximum Security,4.50
2019,18,Spinoff,52.30
2019,19,Gray Magician,33.80
2019,scratched,Haikal,
2019,scratched,Omaha Beach,
2018,1,Justify,2.90
2018,2,Good Magic,9.70
2018,3,Audible,7.00
2018,4,Instilled Regard,85.10
2018,5,My Boy Jack,6.70
2018,6,Bravazo,66.90
2018,7,Hofburg,27.00
2018,8,Lone Sailor,24.50
2018,9,Vino Rosso,14.10
2018,10,Solomini,62.90
2018,11,Firenze Fire,59.70
2018,12,Bolt d'Oro,8.90
2018,13,Flameaway,37.50
2018,14,Enticed,50.30
2018,15,Promises Fulfilled,49.00
2018,16,Free Drop Billy,45.40
2018,17,Noble Indy,59.20
2018,18,Combatant,70.60
2018,19,Magnum Moon,13.70
2018,20,Mendelssohn,6.80
2017,1,Always Dreaming,4.50
2017,2,Lookin At Lee,20.00
2017,3,Battle of Midway,40.00
2017,4,Classic Empire,6.00
2017,5,Practical Joke,20.00
2017,6,Tapwrit,26.00
2017,7,Gunnevera,9.00
2017,8,McCraken,5.00
2017,9,Gormley,
2017,10,Irish War Cry,6.00
2017,11,Hence,
2017,12,Untrapped,
2017,13,Girvin,
2017,14,Patch,30.00
2017,15,J Boys Echo,
2017,16,Sonneteer,
2017,17,Fast and Accurate,
2017,18,Irap,
2017,19,State of Honor,
2017,DNF,Thunder Snow,
2017,,Royal Mo,
2017,,Master Plan,
